Date,Open,High,Low,Close,Adj Close,Volume
1988-10-10,1.410714,1.419643,1.339286,38.750000,1.383929,245462000
1988-10-17,1.375000,1.491071,1.366071,41.000000,1.464286,202669600
1988-10-24,1.473214,1.473214,1.366071,38.500000,1.375000,159308800
1988-10-31,1.383929,1.383929,1.312500,37.750000,1.348214,247844800
1988-11-07,1.330357,1.419643,1.321429,38.500000,1.375000,183733200
1988-11-14,1.383929,1.401786,1.348214,38.000000,1.357143,112551600
1988-11-21,1.339286,1.348214,1.267857,36.500000,1.303571,151594800
1988-11-28,1.303571,1.424107,1.285714,39.250000,1.401786,236437600
1988-12-05,1.410714,1.428571,1.383929,39.125000,1.397321,115474800
1988-12-12,1.401786,1.446429,1.366071,40.125000,1.433036,182448000
1988-12-19,1.437500,1.500000,1.428571,41.125000,1.468750,224366800
1988-12-26,1.464286,1.482143,1.419643,40.250000,1.437500,77758800
1989-01-02,1.437500,1.553571,1.428571,42.625000,1.522321,211489600
1989-01-09,1.535714,1.553571,1.473214,43.250000,1.544643,170744000
1989-01-16,1.544643,1.571429,1.410714,41.000000,1.464286,460712000
1989-01-23,1.455357,1.504464,1.294643,37.625000,1.343750,731799600
1989-01-30,1.343750,1.437500,1.312500,39.250000,1.401786,546702800
1989-02-06,1.410714,1.410714,1.321429,37.250000,1.330357,237014400
1989-02-13,1.312500,1.330357,1.258929,36.750000,1.312500,457483600
1989-02-20,1.316964,1.348214,1.285714,36.000000,1.285714,169094800
1989-02-27,1.285714,1.312500,1.214286,34.750000,1.241071,306544000
1989-03-06,1.250000,1.294643,1.223214,35.000000,1.250000,220413200
1989-03-13,1.250000,1.276786,1.214286,34.875000,1.245536,203117600
1989-03-20,1.250000,1.267857,1.205357,34.375000,1.227679,143351600
1989-03-27,1.223214,1.276786,1.196429,35.625000,1.272321,164477600
1989-04-03,1.267857,1.339286,1.209821,37.375000,1.334821,228407200
1989-04-10,1.330357,1.410714,1.312500,38.750000,1.383929,243614000
1989-04-17,1.375000,1.486607,1.357143,40.125000,1.433036,355499200
1989-04-24,1.428571,1.446429,1.375000,39.000000,1.392857,164085600
1989-05-01,1.375000,1.526786,1.375000,41.500000,1.482143,291653600
1989-05-08,1.482143,1.607143,1.482143,45.000000,1.607143,388805200
1989-05-15,1.598214,1.651786,1.598214,45.750000,1.633929,334264000
1989-05-22,1.633929,1.750000,1.616071,48.500000,1.732143,241838800
1989-05-29,1.723214,1.767857,1.678571,49.000000,1.750000,132778800
1989-06-05,1.741071,1.750000,1.651786,47.000000,1.678571,179306400
1989-06-12,1.669643,1.794643,1.553571,44.500000,1.589286,316638000
1989-06-19,1.589286,1.598214,1.500000,43.875000,1.566964,177153200
1989-06-26,1.571429,1.580357,1.410714,41.250000,1.473214,236227600
1989-07-03,1.491071,1.500000,1.428571,41.250000,1.473214,111885200
1989-07-10,1.464286,1.473214,1.410714,40.750000,1.455357,263625600
1989-07-17,1.455357,1.473214,1.383929,40.000000,1.428571,305684400
1989-07-24,1.419643,1.419643,1.348214,39.375000,1.406250,212996000
1989-07-31,1.401786,1.526786,1.392857,42.750000,1.526786,177276400
1989-08-07,1.535714,1.633929,1.473214,41.875000,1.495536,238002800
1989-08-14,1.482143,1.517857,1.428571,42.250000,1.508929,156119600
1989-08-21,1.508929,1.607143,1.500000,44.750000,1.598214,186905600
1989-08-28,1.589286,1.607143,1.562500,44.625000,1.593750,126268800
1989-09-04,1.589286,1.625000,1.571429,45.000000,1.607143,92825600
1989-09-11,1.598214,1.669643,1.580357,45.000000,1.607143,146756400
1989-09-18,1.589286,1.642857,1.535714,44.875000,1.602679,133890400
1989-09-25,1.598214,1.633929,1.571429,44.500000,1.589286,113209600
1989-10-02,1.589286,1.723214,1.540179,48.125000,1.718750,268514400
1989-10-09,1.714286,1.799107,1.607143,45.750000,1.633929,230848800
